ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
TCHHL1	trichohyalin like 1(TCHHL1)	Homo sapiens			General function prediction only,				IPR011992:EF-hand-like domain,IPR013787:S100/CaBP-9k-type, calcium binding, subdomain,				SM01394:SM01394,	Complete proteome,Polymorphism,Reference proteome,	chain:Trichohyalin-like protein 1,domain:EF-hand,sequence variant,
TRIM11	tripartite motif containing 11(TRIM11)	Homo sapiens				GO:0016567~protein ubiquitination,GO:0032897~negative regulation of viral transcription,GO:0045087~innate immune response,GO:0045892~negative regulation of transcription, DNA-templated,GO:0046597~negative regulation of viral entry into host cell,GO:0046598~positive regulation of viral entry into host cell,GO:0050768~negative regulation of neurogenesis,GO:0051607~defense response to virus,GO:1902187~negative regulation of viral release from host cell,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0005515~protein binding,GO:0008134~transcription factor binding,GO:0008270~zinc ion binding,GO:0016874~ligase activity,GO:0019904~protein domain specific binding,GO:0061630~ubiquitin protein ligase activity,	IPR000315:Zinc finger, B-box,IPR001841:Zinc finger, RING-type,IPR001870:B30.2/SPRY domain,IPR003877:SPla/RYanodine receptor SPRY,IPR003879:Butyrophylin-like,IPR006574:SPRY-associated,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,IPR017907:Zinc finger, RING-type, conserved site,				SM00184:RING,SM00336:BBOX,SM00449:SPRY,SM00589:PRY,	Alternative splicing,Antiviral defense,Coiled coil,Complete proteome,Cytoplasm,Ligase,Metal-binding,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Ubl conjugation pathway,Zinc,Zinc-finger,	chain:Tripartite motif-containing protein 11,domain:B30.2/SPRY,sequence conflict,splice variant,zinc finger region:B box-type,zinc finger region:RING-type,
TRIM17	tripartite motif containing 17(TRIM17)	Homo sapiens				GO:0006914~autophagy,GO:0032880~regulation of protein localization,GO:0051865~protein autoubiquitination,	GO:0005622~intracellular,	GO:0004842~ubiquitin-protein transferase activity,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0016874~ligase activity,GO:0030674~protein binding, bridging,GO:0046872~metal ion binding,	IPR000315:Zinc finger, B-box,IPR001841:Zinc finger, RING-type,IPR001870:B30.2/SPRY domain,IPR003877:SPla/RYanodine receptor SPRY,IPR003879:Butyrophylin-like,IPR006574:SPRY-associated,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,IPR017907:Zinc finger, RING-type, conserved site,IPR027370:RING-type zinc-finger, LisH dimerisation motif,				SM00184:RING,SM00336:BBOX,SM00449:SPRY,SM00589:PRY,	Alternative splicing,Coiled coil,Complete proteome,Ligase,Metal-binding,Proteomics identification,Reference proteome,Ubl conjugation,Ubl conjugation pathway,Zinc,Zinc-finger,	chain:E3 ubiquitin-protein ligase TRIM17,domain:B30.2/SPRY,zinc finger region:B box-type,zinc finger region:RING-type,
TRIM33	tripartite motif containing 33(TRIM33)	Homo sapiens				GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:0016567~protein ubiquitination,GO:0017015~regulation of transforming growth factor beta receptor signaling pathway,GO:0030514~negative regulation of BMP signaling pathway,GO:0045892~negative regulation of transcription, DNA-templated,	GO:0005622~intracellular,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0043231~intracellular membrane-bounded organelle,	GO:0003677~DNA binding,GO:0004842~ubiquitin-protein transferase activity,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0016874~ligase activity,GO:0070410~co-SMAD binding,GO:0070412~R-SMAD binding,	IPR000315:Zinc finger, B-box,IPR001487:Bromodomain,IPR001841:Zinc finger, RING-type,IPR001965:Zinc finger, PHD-type,IPR003649:B-box, C-terminal,IPR011011:Zinc finger, FYVE/PHD-type,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR017907:Zinc finger, RING-type, conserved site,IPR019786:Zinc finger, PHD-type, conserved site,IPR019787:Zinc finger, PHD-finger,IPR027370:RING-type zinc-finger, LisH dimerisation motif,				SM00184:RING,SM00249:PHD,SM00297:BROMO,SM00336:BBOX,SM00502:BBC,	3D-structure,Acetylation,Alternative splicing,Bromodomain,Chromosomal rearrangement,Coiled coil,Complete proteome,DNA-binding,Isopeptide bond,Ligase,Metal-binding,Methylation,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Repressor,Transcription,Transcription regulation,Ubl conjugation,Ubl conjugation pathway,Zinc,Zinc-finger,	chain:E3 ubiquitin-protein ligase TRIM33,compositionally biased region:Poly-Glu,compositionally biased region:Poly-Gly,compositionally biased region:Poly-Thr,domain:Bromo,modified residue,mutagenesis site,region of interest:Necessary for E3 ubiquitin-protein ligase activity and repression of SMAD4 signaling and transcriptional repression,region of interest:Necessary for oligomerization,sequence conflict,sequence variant,site:Breakpoint for translocation to form TRIM33-RET oncogene,splice variant,zinc finger region:B box-type 1,zinc finger region:B box-type 2,zinc finger region:PHD-type,zinc finger region:RING-type,
TRIM43	tripartite motif containing 43(TRIM43)	Homo sapiens					GO:0005622~intracellular,	GO:0005515~protein binding,GO:0008270~zinc ion binding,	IPR000315:Zinc finger, B-box,IPR001841:Zinc finger, RING-type,IPR001870:B30.2/SPRY domain,IPR003877:SPla/RYanodine receptor SPRY,IPR003879:Butyrophylin-like,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,IPR017907:Zinc finger, RING-type, conserved site,				SM00184:RING,SM00336:BBOX,SM00449:SPRY,	Coiled coil,Complete proteome,Metal-binding,Reference proteome,Zinc,Zinc-finger,	chain:Tripartite motif-containing protein 43,chain:Tripartite motif-containing protein 43B,domain:B30.2/SPRY,zinc finger region:B box-type,zinc finger region:RING-type,
TRIM45	tripartite motif containing 45(TRIM45)	Homo sapiens				GO:0060348~bone development,	GO:0005622~intracellular,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0045171~intercellular bridge,	GO:0008270~zinc ion binding,	IPR000315:Zinc finger, B-box,IPR001298:Filamin/ABP280 repeat,IPR001841:Zinc finger, RING-type,IPR003649:B-box, C-terminal,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR013783:Immunoglobulin-like fold,IPR014756:Immunoglobulin E-set,IPR017868:Filamin/ABP280 repeat-like,IPR017907:Zinc finger, RING-type, conserved site,IPR027370:RING-type zinc-finger, LisH dimerisation motif,				SM00184:RING,SM00336:BBOX,SM00502:BBC,SM00557:IG_FLMN,	3D-structure,Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Isopeptide bond,Metal-binding,Nucleus,Polymorphism,Proteomics identification,Reference proteome,Repeat,Zinc,Zinc-finger,	chain:Tripartite motif-containing protein 45,cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),repeat:Filamin,sequence variant,splice variant,strand,turn,zinc finger region:B box-type 1,zinc finger region:B box-type 2,zinc finger region:RING-type,
TRIM54	tripartite motif containing 54(TRIM54)	Homo sapiens				GO:0007017~microtubule-based process,GO:0007026~negative regulation of microtubule depolymerization,GO:0007165~signal transduction,GO:0007275~multicellular organism development,GO:0055001~muscle cell development,	GO:0005874~microtubule,GO:0005875~microtubule associated complex,GO:0030018~Z disc,	GO:0004871~signal transducer activity,GO:0005515~protein binding,GO:0008017~microtubule binding,GO:0008270~zinc ion binding,	IPR000315:Zinc finger, B-box,IPR001841:Zinc finger, RING-type,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR017903:COS domain,IPR017907:Zinc finger, RING-type, conserved site,IPR027370:RING-type zinc-finger, LisH dimerisation motif,				SM00184:RING,SM00336:BBOX,	3D-structure,Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Developmental protein,Differentiation,Metal-binding,Microtubule,Reference proteome,Zinc,Zinc-finger,	chain:Tripartite motif-containing protein 54,domain:COS,region of interest:Mediates microtubule-binding and homooligomerization,sequence conflict,splice variant,zinc finger region:B box-type,zinc finger region:RING-type,
TRIM58	tripartite motif containing 58(TRIM58)	Homo sapiens				GO:0016567~protein ubiquitination,	GO:0005622~intracellular,	GO:0008270~zinc ion binding,GO:0016874~ligase activity,	IPR000315:Zinc finger, B-box,IPR001841:Zinc finger, RING-type,IPR001870:B30.2/SPRY domain,IPR003877:SPla/RYanodine receptor SPRY,IPR003879:Butyrophylin-like,IPR006574:SPRY-associated,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,IPR017907:Zinc finger, RING-type, conserved site,				SM00184:RING,SM00336:BBOX,SM00449:SPRY,SM00589:PRY,	Coiled coil,Complete proteome,Ligase,Metal-binding,Polymorphism,Reference proteome,Ubl conjugation pathway,Zinc,Zinc-finger,	chain:Tripartite motif-containing protein 58,domain:B30.2/SPRY,sequence conflict,sequence variant,zinc finger region:B box-type,zinc finger region:RING-type,
TRIM62	tripartite motif containing 62(TRIM62)	Homo sapiens				GO:0010719~negative regulation of epithelial to mesenchymal transition,GO:0016567~protein ubiquitination,GO:0032897~negative regulation of viral transcription,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0045087~innate immune response,GO:0046596~regulation of viral entry into host cell,GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0060333~interferon-gamma-mediated signaling pathway,GO:1902186~regulation of viral release from host cell,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0004842~ubiquitin-protein transferase activity,GO:0008270~zinc ion binding,GO:0016874~ligase activity,	IPR000315:Zinc finger, B-box,IPR001841:Zinc finger, RING-type,IPR001870:B30.2/SPRY domain,IPR003877:SPla/RYanodine receptor SPRY,IPR003879:Butyrophylin-like,IPR006574:SPRY-associated,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,IPR017907:Zinc finger, RING-type, conserved site,				SM00184:RING,SM00449:SPRY,SM00589:PRY,	Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Ligase,Metal-binding,Reference proteome,Ubl conjugation,Ubl conjugation pathway,Zinc,Zinc-finger,	chain:Tripartite motif-containing protein 62,domain:B30.2/SPRY,sequence conflict,zinc finger region:B box-type,zinc finger region:RING-type,
TRIM67	tripartite motif containing 67(TRIM67)	Homo sapiens				GO:0010976~positive regulation of neuron projection development,GO:0046580~negative regulation of Ras protein signal transduction,GO:2000060~positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process,	GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0005856~cytoskeleton,	GO:0008270~zinc ion binding,	IPR000315:Zinc finger, B-box,IPR001841:Zinc finger, RING-type,IPR001870:B30.2/SPRY domain,IPR003649:B-box, C-terminal,IPR003877:SPla/RYanodine receptor SPRY,IPR003961:Fibronectin, type III,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,IPR013783:Immunoglobulin-like fold,IPR017903:COS domain,IPR017907:Zinc finger, RING-type, conserved site,IPR018957:Zinc finger, C3HC4 RING-type,				SM00060:FN3,SM00184:RING,SM00336:BBOX,SM00449:SPRY,SM00502:BBC,	Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Metal-binding,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,Zinc,Zinc-finger,	chain:Tripartite motif-containing protein 67,compositionally biased region:Gly-rich,compositionally biased region:Poly-Ala,compositionally biased region:Poly-Gly,compositionally biased region:Poly-Ser,domain:B30.2/SPRY,domain:COS,domain:Fibronectin type-III,sequence conflict,splice variant,zinc finger region:B box-type 1; degenerate,zinc finger region:B box-type 2,
TRIM71	tripartite motif containing 71(TRIM71)	Homo sapiens				GO:0000082~G1/S transition of mitotic cell cycle,GO:0001843~neural tube closure,GO:0008543~fibroblast growth factor receptor signaling pathway,GO:0010586~miRNA metabolic process,GO:0017148~negative regulation of translation,GO:0021915~neural tube development,GO:0035278~miRNA mediated inhibition of translation,GO:0051865~protein autoubiquitination,GO:0060964~regulation of gene silencing by miRNA,GO:0061158~3'-UTR-mediated mRNA destabilization,GO:0072089~stem cell proliferation,GO:2000177~regulation of neural precursor cell proliferation,GO:2000637~positive regulation of gene silencing by miRNA,	GO:0000932~cytoplasmic mRNA processing body,	GO:0004842~ubiquitin-protein transferase activity,GO:0008270~zinc ion binding,GO:0016874~ligase activity,GO:0030371~translation repressor activity,GO:0035198~miRNA binding,GO:0061630~ubiquitin protein ligase activity,	IPR000315:Zinc finger, B-box,IPR001258:NHL repeat,IPR001298:Filamin/ABP280 repeat,IPR001841:Zinc finger, RING-type,IPR011042:Six-bladed beta-propeller, TolB-like,IPR013017:NHL repeat, subgroup,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR013783:Immunoglobulin-like fold,IPR014756:Immunoglobulin E-set,IPR017868:Filamin/ABP280 repeat-like,IPR017907:Zinc finger, RING-type, conserved site,	hsa05206:MicroRNAs in cancer,			SM00184:RING,SM00336:BBOX,SM00557:IG_FLMN,	Acetylation,Coiled coil,Complete proteome,Cytoplasm,Developmental protein,Ligase,Metal-binding,Reference proteome,Repeat,RNA-binding,RNA-mediated gene silencing,Ubl conjugation,Ubl conjugation pathway,Zinc,Zinc-finger,	chain:Tripartite motif-containing protein 71,compositionally biased region:His-rich,compositionally biased region:Ser-rich,repeat:Filamin,repeat:NHL 1,repeat:NHL 2,repeat:NHL 3,repeat:NHL 4,repeat:NHL 5,repeat:NHL 6,zinc finger region:B box-type 1; atypical,zinc finger region:B box-type 2,zinc finger region:RING-type,
TPM3	tropomyosin 3(TPM3)	Homo sapiens				GO:0006928~movement of cell or subcellular component,GO:0006936~muscle contraction,GO:0007015~actin filament organization,GO:0030049~muscle filament sliding,	GO:0001725~stress fiber,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0005862~muscle thin filament tropomyosin,GO:0005884~actin filament,GO:0070062~extracellular exosome,	GO:0005515~protein binding,GO:0008307~structural constituent of muscle,GO:0051015~actin filament binding,	IPR000533:Tropomyosin,	hsa04260:Cardiac muscle contraction,hsa04261:Adrenergic signaling in cardiomyocytes,hsa05200:Pathways in cancer,hsa05216:Thyroid cancer,hsa05410:Hypertrophic cardiomyopathy (HCM),hsa05414:Dilated cardiomyopathy,	255310~Myopathy, congenital, with fiber-type disproportion,609284~CAP myopathy 1,609284~Nemaline myopathy 1, autosomal dominant or recessive,			Acetylation,Actin-binding,Alternative splicing,Chromosomal rearrangement,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Direct protein sequencing,Disease mutation,Isopeptide bond,Muscle protein,Nemaline myopathy,Phosphoprotein,Proteomics identification,Proto-oncogene,Reference proteome,Ubl conjugation,	chain:Tropomyosin alpha-3 chain,modified residue,sequence conflict,sequence variant,splice variant,
TNNC1	troponin C1, slow skeletal and cardiac type(TNNC1)	Homo sapiens				GO:0002086~diaphragm contraction,GO:0003009~skeletal muscle contraction,GO:0006937~regulation of muscle contraction,GO:0010038~response to metal ion,GO:0014883~transition between fast and slow fiber,GO:0030049~muscle filament sliding,GO:0032972~regulation of muscle filament sliding speed,GO:0043462~regulation of ATPase activity,GO:0055010~ventricular cardiac muscle tissue morphogenesis,GO:0060048~cardiac muscle contraction,	GO:0005654~nucleoplasm,GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0005861~troponin complex,GO:0015629~actin cytoskeleton,GO:0043292~contractile fiber,	GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0031013~troponin I binding,GO:0031014~troponin T binding,GO:0042803~protein homodimerization activity,GO:0048306~calcium-dependent protein binding,GO:0051015~actin filament binding,	IPR002048:EF-hand domain,IPR011992:EF-hand-like domain,IPR018247:EF-Hand 1, calcium-binding site,	hsa04020:Calcium signaling pathway,hsa04260:Cardiac muscle contraction,hsa04261:Adrenergic signaling in cardiomyocytes,hsa05410:Hypertrophic cardiomyopathy (HCM),hsa05414:Dilated cardiomyopathy,	611879~Cardiomyopathy, dilated, 1Z,613243~Cardiomyopathy, hypertrophic, 13,		SM00054:EFh,	3D-structure,Acetylation,Calcium,Cardiomyopathy,Complete proteome,Direct protein sequencing,Disease mutation,Metal-binding,Muscle protein,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,	calcium-binding region:1,calcium-binding region:2,calcium-binding region:3,chain:Troponin C, slow skeletal and cardiac muscles,domain:EF-hand 1,domain:EF-hand 2,domain:EF-hand 3,domain:EF-hand 4,helix,modified residue,sequence conflict,sequence variant,strand,turn,
TNNT2	troponin T2, cardiac type(TNNT2)	Homo sapiens				GO:0006937~regulation of muscle contraction,GO:0008016~regulation of heart contraction,GO:0030049~muscle filament sliding,GO:0032780~negative regulation of ATPase activity,GO:0032781~positive regulation of ATPase activity,GO:0032972~regulation of muscle filament sliding speed,GO:0051291~protein heterooligomerization,GO:0051592~response to calcium ion,GO:0051764~actin crosslink formation,GO:0055010~ventricular cardiac muscle tissue morphogenesis,GO:0060048~cardiac muscle contraction,	GO:0005829~cytosol,GO:0005861~troponin complex,GO:0005865~striated muscle thin filament,GO:0030017~sarcomere,	GO:0003779~actin binding,GO:0005515~protein binding,GO:0005523~tropomyosin binding,GO:0030172~troponin C binding,GO:0030674~protein binding, bridging,GO:0031013~troponin I binding,	IPR001978:Troponin,	hsa04260:Cardiac muscle contraction,hsa04261:Adrenergic signaling in cardiomyocytes,hsa05410:Hypertrophic cardiomyopathy (HCM),hsa05414:Dilated cardiomyopathy,	115195~Cardiomyopathy, hypertrophic, 2,601494~Cardiomyopathy, dilated, 1D,601494~Left ventricular noncompaction 6,612422~Cardiomyopathy, familial restrictive, 3,			3D-structure,Acetylation,Alternative splicing,Cardiomyopathy,Coiled coil,Complete proteome,Direct protein sequencing,Disease mutation,Muscle protein,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,	chain:Troponin T, cardiac muscle,helix,modified residue,sequence conflict,sequence variant,splice variant,
WARS2	tryptophanyl tRNA synthetase 2, mitochondrial(WARS2)	Homo sapiens				GO:0001570~vasculogenesis,GO:0006418~tRNA aminoacylation for protein translation,GO:0006436~tryptophanyl-tRNA aminoacylation,	GO:0005737~cytoplasm,GO:0005759~mitochondrial matrix,	GO:0004830~tryptophan-tRNA ligase activity,GO:0005524~ATP binding,	IPR001412:Aminoacyl-tRNA synthetase, class I, conserved site,IPR002305:Aminoacyl-tRNA synthetase, class Ic,IPR002306:Tryptophan-tRNA ligase,IPR014729:Rossmann-like alpha/beta/alpha sandwich fold,IPR024109:Tryptophan-tRNA ligase, bacterial-type,	hsa00970:Aminoacyl-tRNA biosynthesis,				Alternative splicing,Aminoacyl-tRNA synthetase,ATP-binding,Complete proteome,Ligase,Mitochondrion,Nucleotide-binding,Polymorphism,Protein biosynthesis,Reference proteome,Transit peptide,	chain:Tryptophanyl-tRNA synthetase, mitochondrial,sequence conflict,sequence variant,transit peptide:Mitochondrion,
TUBA3D	tubulin alpha 3d(TUBA3D)	Homo sapiens				GO:0007010~cytoskeleton organization,GO:0007017~microtubule-based process,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005874~microtubule,	GO:0003924~GTPase activity,GO:0005200~structural constituent of cytoskeleton,GO:0005515~protein binding,GO:0005525~GTP binding,	IPR000217:Tubulin,IPR002452:Alpha tubulin,IPR003008:Tubulin/FtsZ, GTPase domain,IPR008280:Tubulin/FtsZ, C-terminal,IPR017975:Tubulin, conserved site,IPR018316:Tubulin/FtsZ, 2-layer sandwich domain,IPR023123:Tubulin, C-terminal,	hsa04145:Phagosome,hsa04540:Gap junction,hsa05130:Pathogenic Escherichia coli infection,			SM00864:SM00864,SM00865:SM00865,	Acetylation,Alternative splicing,Complete proteome,Cytoplasm,Cytoskeleton,GTP-binding,Isopeptide bond,Methylation,Microtubule,Nitration,Nucleotide-binding,Phosphoprotein,Polymorphism,Reference proteome,Ubl conjugation,	chain:Tubulin alpha-3C/D chain,modified residue,nucleotide phosphate-binding region:GTP,sequence conflict,sequence variant,site:Involved in polymerization,splice variant,
TUBA3E	tubulin alpha 3e(TUBA3E)	Homo sapiens				GO:0007010~cytoskeleton organization,GO:0007017~microtubule-based process,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005874~microtubule,	GO:0003924~GTPase activity,GO:0005200~structural constituent of cytoskeleton,GO:0005515~protein binding,GO:0005525~GTP binding,	IPR000217:Tubulin,IPR002452:Alpha tubulin,IPR003008:Tubulin/FtsZ, GTPase domain,IPR008280:Tubulin/FtsZ, C-terminal,IPR017975:Tubulin, conserved site,IPR018316:Tubulin/FtsZ, 2-layer sandwich domain,IPR023123:Tubulin, C-terminal,	hsa04145:Phagosome,hsa04540:Gap junction,hsa05130:Pathogenic Escherichia coli infection,			SM00864:SM00864,SM00865:SM00865,	Acetylation,Complete proteome,Cytoplasm,Cytoskeleton,GTP-binding,Microtubule,Nitration,Nucleotide-binding,Phosphoprotein,Polymorphism,Reference proteome,	chain:Tubulin alpha-3E chain,modified residue,nucleotide phosphate-binding region:GTP,sequence variant,site:Involved in polymerization,
TUBA4B	tubulin alpha 4b(TUBA4B)	Homo sapiens				GO:0007010~cytoskeleton organization,GO:0007017~microtubule-based process,	GO:0005737~cytoplasm,GO:0005874~microtubule,	GO:0003924~GTPase activity,GO:0005200~structural constituent of cytoskeleton,GO:0005525~GTP binding,	IPR000217:Tubulin,IPR002452:Alpha tubulin,IPR003008:Tubulin/FtsZ, GTPase domain,				SM00864:SM00864,	Complete proteome,Cytoplasm,Cytoskeleton,GTP-binding,Microtubule,Nucleotide-binding,Reference proteome,	chain:Putative tubulin-like protein alpha-4B,nucleotide phosphate-binding region:GTP,sequence conflict,
TBCE	tubulin folding cofactor E(TBCE)	Homo sapiens			Function unknown,	GO:0000226~microtubule cytoskeleton organization,GO:0006457~protein folding,GO:0007023~post-chaperonin tubulin folding pathway,GO:0008344~adult locomotory behavior,GO:0009791~post-embryonic development,GO:0014889~muscle atrophy,GO:0048589~developmental growth,GO:0048936~peripheral nervous system neuron axonogenesis,	GO:0005737~cytoplasm,GO:0005874~microtubule,	GO:0051087~chaperone binding,	IPR000626:Ubiquitin,IPR000938:CAP Gly-rich domain,		241410~Hypoparathyroidism-retardation-dysmorphism syndrome,244460~Kenny-Caffey syndrome, type 1,		SM01052:SM01052,	3D-structure,Acetylation,Alternative splicing,Chaperone,Complete proteome,Cytoplasm,Cytoskeleton,Disease mutation,Dwarfism,Leucine-rich repeat,Mental retardation,Phosphoprotein,Polymorphism,Reference proteome,Repeat,	chain:Tubulin-specific chaperone E,domain:CAP-Gly,modified residue,repeat:LRR 1,repeat:LRR 2,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,repeat:LRR 6,repeat:LRR 7,sequence variant,
TTLL10	tubulin tyrosine ligase like 10(TTLL10)	Homo sapiens				GO:0006464~cellular protein modification process,GO:0018094~protein polyglycylation,		GO:0005515~protein binding,GO:0005524~ATP binding,GO:0070735~protein-glycine ligase activity,	IPR004344:Tubulin-tyrosine ligase,					Alternative splicing,ATP-binding,Complete proteome,Nucleotide-binding,Polymorphism,Reference proteome,	chain:Inactive polyglycylase TTLL10,compositionally biased region:Pro-rich,domain:TTL,mutagenesis site,sequence conflict,sequence variant,splice variant,
TTLL3	tubulin tyrosine ligase like 3(TTLL3)	Homo sapiens				GO:0006464~cellular protein modification process,GO:0018094~protein polyglycylation,GO:0035082~axoneme assembly,GO:0042384~cilium assembly,GO:0060271~cilium morphogenesis,	GO:0005737~cytoplasm,GO:0005874~microtubule,GO:0005929~cilium,GO:0005930~axoneme,GO:0015630~microtubule cytoskeleton,	GO:0005524~ATP binding,GO:0070735~protein-glycine ligase activity,GO:0070736~protein-glycine ligase activity, initiating,	IPR004344:Tubulin-tyrosine ligase,					Alternative splicing,ATP-binding,Cell projection,Cilium,Complete proteome,Cytoplasm,Cytoskeleton,Ligase,Microtubule,Nucleotide-binding,Polymorphism,Reference proteome,	chain:Actin-related protein 2/3 complex subunit 4,chain:Tubulin monoglycylase TTLL3,domain:TTL,modified residue,mutagenesis site,sequence conflict,sequence variant,splice variant,
TTLL4	tubulin tyrosine ligase like 4(TTLL4)	Homo sapiens				GO:0018095~protein polyglutamylation,GO:0018200~peptidyl-glutamic acid modification,	GO:0005737~cytoplasm,GO:0005874~microtubule,GO:0005929~cilium,	GO:0005524~ATP binding,GO:0015631~tubulin binding,GO:0070739~protein-glutamic acid ligase activity,	IPR004344:Tubulin-tyrosine ligase,IPR013816:ATP-grasp fold, subdomain 2,					ATP-binding,Cell projection,Cilium,Complete proteome,Cytoplasm,Cytoskeleton,Ligase,Microtubule,Nucleotide-binding,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,	chain:Tubulin polyglutamylase TTLL4,domain:TTL,modified residue,sequence variant,
TTLL7	tubulin tyrosine ligase like 7(TTLL7)	Homo sapiens				GO:0006464~cellular protein modification process,GO:0007399~nervous system development,GO:0018095~protein polyglutamylation,GO:0030154~cell differentiation,	GO:0005737~cytoplasm,GO:0005874~microtubule,GO:0005929~cilium,GO:0030425~dendrite,GO:0043204~perikaryon,	GO:0005524~ATP binding,GO:0043014~alpha-tubulin binding,GO:0048487~beta-tubulin binding,GO:0070740~tubulin-glutamic acid ligase activity,	IPR004344:Tubulin-tyrosine ligase,					3D-structure,Alternative splicing,ATP-binding,Cell projection,Cilium,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Developmental protein,Differentiation,Ligase,Microtubule,Neurogenesis,Nucleotide-binding,Proteomics identification,Reference proteome,	chain:Tubulin polyglutamylase TTLL7,domain:TTL,sequence conflict,splice variant,
TTL	tubulin tyrosine ligase(TTL)	Homo sapiens				GO:0000226~microtubule cytoskeleton organization,GO:0006464~cellular protein modification process,GO:0030516~regulation of axon extension,		GO:0004835~tubulin-tyrosine ligase activity,GO:0005524~ATP binding,	IPR004344:Tubulin-tyrosine ligase,					ATP-binding,Complete proteome,Ligase,Magnesium,Nucleotide-binding,Potassium,Reference proteome,	chain:Tubulin--tyrosine ligase,domain:TTL,sequence conflict,
TINAGL1	tubulointerstitial nephritis antigen like 1(TINAGL1)	Homo sapiens				GO:0006898~receptor-mediated endocytosis,GO:0006955~immune response,GO:0007155~cell adhesion,GO:0016197~endosomal transport,GO:0051603~proteolysis involved in cellular protein catabolic process,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0005764~lysosome,GO:0031012~extracellular matrix,GO:0070062~extracellular exosome,	GO:0004197~cysteine-type endopeptidase activity,GO:0005044~scavenger receptor activity,GO:0005201~extracellular matrix structural constituent,GO:0005515~protein binding,GO:0008234~cysteine-type peptidase activity,GO:0030247~polysaccharide binding,GO:0043236~laminin binding,	IPR000668:Peptidase C1A, papain C-terminal,IPR001212:Somatomedin B domain,IPR013128:Peptidase C1A, papain,IPR025660:Cysteine peptidase, histidine active site,				SM00645:Pept_C1,	Alternative splicing,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Polymorphism,Proteomics identification,Reference proteome,Secreted,Signal,	chain:Tubulointerstitial nephritis antigen- like,disulfide bond,domain:SMB,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,signal peptide,splice variant,
